id,ident,Type,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated,is_heliport,elevation_level
32706,VNMN,Airport,small_airport,Mahendranagar Airport,28.9632,80.147903,650,AS,Nepal,NP,Sudurpashchim Province,NP-P7,P7,Mahendranagar,0,VNMN,VNMN,XMG,,,https://en.wikipedia.org/wiki/Mahendranagar_Airport,,50,2024-05-17T08:39:04+00:00,0,Low
32213,VNRB,Airport,small_airport,Rajbiraj Airport,26.510066,86.733902,250,AS,Nepal,NP,Madhesh Province,NP-P2,P2,Rajbiraj,0,VNRB,VNRB,RJB,,,https://en.wikipedia.org/wiki/Rajbiraj_Airport,,50,2024-05-29T06:09:06+00:00,0,Low
32587,VNRP,Airport,small_airport,Rolpa Airport,28.267292,82.756496,4100,AS,Nepal,NP,Lumbini Province,NP-P5,P5,Rolpa,0,VNRP,VNRP,RPA,,,https://en.wikipedia.org/wiki/Rolpa_Airport,,50,2024-05-17T08:40:05+00:00,0,Medium
31110,VNSR,Airport,small_airport,Sanfebagar Airport,29.236629,81.215317,2280,AS,Nepal,NP,Sudurpashchim Province,NP-P7,P7,Sanfebagar,0,VNSR,VNSR,FEB,,,https://en.wikipedia.org/wiki/Sanfebagar_Airport,,50,2017-08-19T09:18:22+00:00,0,Low
32588,VNTP,Airport,small_airport,Tikapur Airport,28.5219,81.123,522,AS,Nepal,NP,Sudurpashchim Province,NP-P7,P7,Tikapur,0,VNTP,VNTP,TPU,,,https://en.wikipedia.org/wiki/Tikapur_Airport,,50,2015-12-04T00:08:55+00:00,0,Low
350898,NP-0011,Heliport,heliport,Khumjung Heliport,27.82213,86.72294,12418,AS,Nepal,NP,Koshi Province,NP-P1,P1,Khumjung,0,,,,,,,,0,2021-12-21T18:30:48+00:00,1,High
350893,NP-0006,Heliport,heliport,Rivendell Lodge Heliport,27.84001,86.7697,12182,AS,Nepal,NP,Koshi Province,NP-P1,P1,Khumjung,0,,,,,,,,0,2021-12-21T18:21:55+00:00,1,High
350892,NP-0005,Heliport,heliport,Tengboche Monastery Heliport,27.83644,86.76099,12703,AS,Nepal,NP,Koshi Province,NP-P1,P1,Khumjung,0,,,,,,,,0,2021-12-21T18:20:55+00:00,1,High
350901,NP-0014,Heliport,heliport,Lokhim Heliport,27.43895,86.7452,5440,AS,Nepal,NP,Koshi Province,NP-P1,P1,Lokhim,0,,,,,,,,0,2021-12-21T18:34:35+00:00,1,Medium
350903,NP-0016,Heliport,heliport,Magpa Army Heliport,27.35687,86.74819,6936,AS,Nepal,NP,Koshi Province,NP-P1,P1,Magpa,0,,,,,,,,0,2021-12-21T18:37:00+00:00,1,Medium
351651,NP-0018,Heliport,heliport,Pathibhara Lodge Heliport,27.41639,87.7621,10486,AS,Nepal,NP,Koshi Province,NP-P1,P1,Taplejung,0,,,,,,,,0,2022-01-19T23:55:29+00:00,1,High
